iter	Passed	Remaining
0	17	1766
1	49	2411
2	93	3036
3	108	2594
4	133	2527
5	162	2553
6	176	2344
7	194	2231
8	224	2273
9	237	2137
10	277	2241
11	283	2076
12	291	1952
13	306	1880
14	318	1806
15	326	1712
16	338	1651
17	345	1574
18	360	1534
19	368	1473
20	377	1420
21	384	1361
22	391	1310
23	407	1290
24	416	1250
25	437	1245
26	446	1208
27	472	1214
28	479	1173
29	489	1141
30	512	1139
31	521	1109
32	529	1075
33	536	1041
34	549	1019
35	563	1001
36	571	973
37	579	945
38	589	922
39	597	896
40	606	872
41	619	856
42	625	829
43	638	812
44	647	790
45	662	777
46	691	780
47	701	760
48	710	739
49	722	722
50	732	703
51	738	681
52	743	659
53	779	663
54	792	648
55	807	634
56	821	619
57	835	605
58	845	587
59	852	568
60	859	549
61	868	532
62	875	514
63	884	497
64	891	479
65	897	462
66	907	446
67	920	433
68	925	415
69	936	401
70	953	389
71	969	377
72	988	365
73	1018	357
74	1035	345
75	1048	331
76	1070	319
77	1084	305
78	1091	290
79	1104	276
80	1110	260
81	1118	245
82	1135	232
83	1154	219
84	1172	206
85	1180	192
86	1185	177
87	1192	162
88	1201	148
89	1210	134
90	1220	120
91	1230	106
92	1237	93
93	1250	79
94	1258	66
95	1264	52
96	1272	39
97	1278	26
98	1284	12
99	1289	0
