iter	Passed	Remaining
0	5	1137
1	14	1458
2	17	1146
3	23	1157
4	36	1432
5	39	1271
6	50	1395
7	56	1357
8	62	1336
9	69	1328
10	76	1307
11	82	1287
12	84	1222
13	91	1215
14	99	1230
15	103	1189
16	110	1185
17	115	1169
18	121	1155
19	123	1114
20	133	1140
21	139	1129
22	147	1136
23	153	1124
24	163	1141
25	170	1141
26	174	1116
27	179	1105
28	185	1093
29	187	1061
30	194	1061
31	199	1049
32	208	1054
33	209	1025
34	217	1025
35	225	1027
36	232	1026
37	245	1047
38	251	1039
39	259	1038
40	265	1027
41	271	1022
42	276	1008
43	286	1014
44	291	1003
45	294	985
46	297	967
47	312	990
48	315	971
49	325	976
50	332	970
51	337	961
52	342	951
53	348	942
54	356	939
55	361	930
56	367	922
57	373	915
58	379	907
59	386	902
60	389	888
61	395	881
62	402	874
63	403	857
64	410	852
65	416	845
66	419	832
67	429	834
68	439	835
69	445	828
70	452	822
71	454	807
72	459	798
73	464	791
74	469	782
75	476	777
76	479	766
77	487	762
78	495	758
79	501	751
80	508	747
81	513	739
82	524	739
83	533	736
84	535	724
85	543	720
86	550	715
87	557	709
88	560	699
89	567	694
90	573	686
91	578	679
92	588	676
93	593	669
94	596	659
95	603	653
96	609	647
97	618	643
98	626	639
99	629	629
100	637	625
101	644	619
102	653	615
103	659	609
104	670	606
105	676	599
106	683	594
107	690	587
108	697	582
109	704	576
110	710	569
111	721	566
112	729	561
113	738	557
114	745	551
115	752	545
116	758	537
117	767	533
118	772	525
119	780	520
120	786	513
121	796	509
122	803	502
123	811	497
124	819	491
125	828	486
126	836	480
127	843	474
128	851	468
129	859	462
130	866	456
131	873	450
132	880	443
133	885	435
134	895	431
135	904	425
136	915	421
137	920	413
138	929	407
139	935	400
140	942	394
141	948	387
142	957	381
143	964	374
144	969	367
145	978	361
146	986	355
147	994	349
148	1001	342
149	1010	336
150	1018	330
151	1027	324
152	1036	318
153	1045	312
154	1050	304
155	1056	298
156	1062	290
157	1067	283
158	1074	277
159	1080	270
160	1087	263
161	1094	256
162	1101	249
163	1109	243
164	1114	236
165	1125	230
166	1130	223
167	1144	217
168	1149	210
169	1156	204
170	1162	197
171	1169	190
172	1176	183
173	1185	177
174	1192	170
175	1197	163
176	1206	156
177	1212	149
178	1223	143
179	1228	136
180	1238	130
181	1245	123
182	1253	116
183	1260	109
184	1266	102
185	1272	95
186	1278	88
187	1285	82
188	1291	75
189	1299	68
190	1306	61
191	1312	54
192	1320	47
193	1326	41
194	1336	34
195	1343	27
196	1353	20
197	1359	13
198	1367	6
199	1373	0
